ENST00000302092	ENSG00000169861	chr21	+	9884492	9884938	9884492	9884938	2	9884492,9884621,	9884538,9884938,
ENST00000402565	ENSG00000220964	chr21	+	9893989	9894300	9894300	9894300	1	9893989,	9894300,
ENST00000405264	ENSG00000216804	chr21	+	9920952	9921876	9921876	9921876	2	9920952,9921751,	9921115,9921876,
ENST00000342420	ENSG00000166157	chr21	-	9928080	10012775	9928775	9995604	22	9928080,9930695,9932177,9936233,9938240,9941954,9943804,9955722,9955909,9956807,9963778,9964581,9964791,9966538,9973136,9974783,9991879,9993162,9995593,10006915,10009639,10012633,	9928911,9930766,9932270,9936313,9938346,9942035,9943866,9955811,9955991,9956868,9963843,9964645,9964891,9966658,9973298,9974834,9991933,9993216,9995647,10006973,10009748,10012775,
ENST00000298232	ENSG00000166157	chr21	-	9928080	10012775	9928775	9995604	23	9928080,9930695,9932177,9936233,9938240,9941954,9943804,9955722,9955909,9956807,9963778,9964581,9964791,9966538,9973136,9974783,9981611,9991879,9993162,9995593,10006915,10009639,10012633,	9928911,9930766,9932270,9936313,9938346,9942035,9943866,9955811,9955991,9956868,9963843,9964645,9964891,9966658,9973298,9974834,9981671,9991933,9993216,9995647,10006973,10009748,10012775,
ENST00000359693	ENSG00000166157	chr21	-	9928080	9993593	9928775	9993593	21	9928080,9930695,9932177,9936233,9938240,9941954,9943804,9955722,9955909,9956807,9963778,9964581,9964791,9966538,9973136,9974783,9981611,9990945,9991879,9993162,9993582,	9928911,9930766,9932270,9936313,9938346,9942035,9943866,9955811,9955991,9956868,9963843,9964645,9964891,9966658,9973298,9974834,9981671,9990999,9991933,9993216,9993593,
ENST00000361285	ENSG00000166157	chr21	-	9928080	10012775	9928775	9973168	23	9928080,9930695,9932177,9936233,9938240,9941954,9943804,9955722,9955909,9956807,9963778,9964581,9964791,9966538,9973136,9974783,9981611,9991879,9993162,9995593,10006915,10009639,10012633,	9928911,9930766,9932270,9936313,9938346,9942035,9943866,9955811,9955991,9956868,9963843,9964645,9964891,9966658,9973298,9974834,9981671,9991933,9993216,9995647,10006973,10009748,10012775,
ENST00000400230	ENSG00000166157	chr21	-	9928611	10012753	9928775	9995604	24	9928611,9930695,9932177,9936233,9938240,9941954,9943804,9955722,9955909,9956807,9963778,9964581,9964791,9966538,9973136,9974783,9981611,9990945,9991879,9993162,9995593,10006915,10009639,10012633,	9928911,9930766,9932270,9936313,9938346,9942035,9943866,9955811,9955991,9956868,9963843,9964645,9964891,9966658,9973298,9974834,9981671,9990999,9991933,9993216,9995647,10006973,10009748,10012753,
ENST00000407018	ENSG00000217879	chr21	-	9957846	9958038	9958038	9958038	1	9957846,	9958038,
ENST00000356832	ENSG00000187172	chr21	-	10042712	10120568	10071441	10120568	10	10042712,10042980,10048593,10051468,10060598,10069351,10071320,10080031,10119416,10120553,	10042788,10043082,10048710,10051588,10061300,10069466,10071492,10080194,10119517,10120568,
